year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2015,3311.78853,2,1,2,1,5,1,5,1,2,2,1,1,1,1,1,3,1,1,2,1,1
2015,3314.11211,1,1,2,1,6,1,7,1,3,1,3,1,2,0,1,1,1,0,0,2,3
2015,3314.11211,1,1,2,1,6,1,7,1,3,1,3,1,2,0,1,4,2,0,0,2,3
2015,3739.22914,2,1,2,1,6,2,7,5,1,1,4,2,2,0,1,4,2,0,0,2,3
2015,4093.07889,1,2,2,2,6,1,5,1,2,3,5,1,2,0,1,4,2,0,0,2,3
2015,3062.54874,2,1,2,1,7,5,88,0,1,2,1,2,2,0,1,4,2,0,0,2,1
2015,3062.54874,2,1,2,1,7,5,88,0,1,2,1,2,2,0,1,4,2,0,0,2,1
2015,3411.62749,2,3,2,3,5,2,4,3,4,1,3,2,2,0,1,4,2,1,1,2,2
2015,3278.28923,2,1,2,1,7,2,7,1,1,2,6,2,2,0,1,4,2,0,0,2,3
2015,3816.81787,1,2,2,2,8,2,88,3,1,1,5,2,2,0,1,4,2,0,0,2,3
2015,3385.82881,1,1,2,1,6,2,7,1,2,2,6,1,2,0,2,5,3,0,0,2,5
2015,5454.37482,1,1,2,1,2,1,3,1,2,2,4,2,2,0,1,2,1,1,1,2,3
2015,4319.1496,1,3,2,3,6,4,6,0,1,2,3,2,2,0,1,4,2,0,0,2,5
2015,3314.3537,1,2,2,2,8,4,88,4,2,1,6,2,3,5,1,2,1,0,0,2,1
2015,3314.3537,1,2,2,2,8,4,88,4,2,1,3,1,3,5,1,4,2,0,0,2,1
2015,3078.189,2,1,2,1,7,2,7,1,1,2,3,1,1,1,1,3,1,0,0,1,1
2015,3181.42444,2,1,2,1,5,1,2,1,3,2,1,1,2,0,1,4,2,1,1,2,2
2015,46224.189,1,2,2,2,4,1,1,1,2,1,4,1,2,0,1,4,2,0,0,2,1
2015,3231.85202,1,1,2,1,6,1,3,1,3,2,4,2,2,0,1,4,2,0,0,2,3
2015,3479.33654,1,1,2,1,6,2,5,0,4,3,4,1,1,2,1,3,1,1,2,2,3
2015,3709.7186,1,1,2,1,6,4,7,1,2,3,4,2,1,3,1,3,1,0,0,2,3
2015,3292.53548,2,1,2,1,5,2,7,0,3,2,4,2,3,5,1,4,2,0,0,2,5
2015,1129.84184,2,1,2,1,6,4,3,1,2,3,1,2,2,0,1,4,2,0,0,2,1
